XCoord,YCoord,OBJECTID,UNIQUEID,TIME
-80.38903943,25.49016757,816,Hammer,2016-11-15 10:17:43
-80.39738512,25.48792447,817,Hammer,2016-11-15 10:22:43
-80.38845184,25.48480295,818,Hammer,2016-11-15 10:27:43
-80.38858775,25.48469688,819,Hammer,2016-11-15 10:32:43
-80.38917831,25.49006469,820,Hammer,2016-11-15 10:37:43
-80.38899535,25.48437853,821,Hammer,2016-11-15 10:42:43
-80.38913122,25.48427242,822,Hammer,2016-11-15 10:47:43
-80.38872362,25.48459077,823,Hammer,2016-11-15 10:52:43
-80.38885949,25.48448465,824,Hammer,2016-11-15 10:57:43.000001
-80.38953882,25.48395407,825,Hammer,2016-11-15 11:02:43
-80.38967469,25.48384795,826,Hammer,2016-11-15 11:07:43
-80.38926709,25.48416630,827,Hammer,2016-11-15 11:12:43
-80.38940295,25.48406018,828,Hammer,2016-11-15 11:17:43
-80.40075290,25.47248753,829,Hammer,2016-11-15 11:22:43
-80.40071767,25.47264658,830,Hammer,2016-11-15 11:27:43
-80.40068243,25.47280563,831,Hammer,2016-11-15 11:32:43
-80.40064720,25.47296467,832,Hammer,2016-11-15 11:37:43
-80.40100542,25.47188094,833,Hammer,2016-11-15 11:42:43.000001
-80.40093973,25.47203191,834,Hammer,2016-11-15 11:47:43
-80.38897745,25.48431820,835,Hammer,2016-11-15 11:52:43
-80.38884153,25.48442426,836,Hammer,2016-11-15 11:57:43
-80.38924928,25.48410607,837,Hammer,2016-11-15 12:02:43
-80.38911336,25.48421213,838,Hammer,2016-11-15 12:07:43
-80.38952111,25.48389394,839,Hammer,2016-11-15 12:12:43
-80.38938520,25.48400000,840,Hammer,2016-11-15 12:17:43
-80.38979295,25.48368181,841,Hammer,2016-11-15 12:22:43
-80.38965703,25.48378787,842,Hammer,2016-11-15 12:27:43.000001
-80.39006478,25.48346968,843,Hammer,2016-11-15 12:32:43
-80.38992886,25.48357574,844,Hammer,2016-11-15 12:37:43
-80.36597215,25.49566316,845,Hammer,2016-11-15 12:42:43
-80.36611266,25.49556210,846,Hammer,2016-11-15 12:47:43
-80.36491902,25.49654387,847,Hammer,2016-11-15 12:52:43
-80.36503838,25.49642267,848,Hammer,2016-11-15 12:57:43
-80.36516637,25.49630919,849,Hammer,2016-11-15 13:02:43
-80.36529975,25.49620055,850,Hammer,2016-11-15 13:07:43
-80.36543313,25.49609190,851,Hammer,2016-11-15 13:12:43.000001
-80.36556652,25.49598326,852,Hammer,2016-11-15 13:17:43
-80.36569990,25.49587461,853,Hammer,2016-11-15 13:22:43
-80.36583328,25.49576596,854,Hammer,2016-11-15 13:27:43
-80.38286168,25.48913309,855,Hammer,2016-11-15 13:32:43
-80.40166499,25.49693033,856,Hammer,2016-11-15 13:37:43
-80.39172232,25.47304935,857,Hammer,2016-11-15 13:42:43
-80.39185059,25.47293578,858,Hammer,2016-11-15 13:47:43
-80.39146579,25.47327649,859,Hammer,2016-11-15 13:52:43
-80.39159405,25.47316292,860,Hammer,2016-11-15 13:57:43.000001
-80.39120925,25.47350364,861,Hammer,2016-11-15 14:02:43
-80.39133752,25.47339007,862,Hammer,2016-11-15 14:07:43
-80.39095271,25.47373078,863,Hammer,2016-11-15 14:12:43
-80.38659160,25.47759216,864,Hammer,2016-11-15 14:17:43
-80.39069618,25.47395793,865,Hammer,2016-11-15 14:22:43
-80.39082445,25.47384435,866,Hammer,2016-11-15 14:27:43
-80.38671987,25.47747859,867,Hammer,2016-11-15 14:32:43
-80.38933764,25.48999276,868,Hammer,2016-11-15 14:37:43
-80.40197826,25.49663980,869,Hammer,2016-11-15 14:42:43.000001
-80.38204361,25.48976675,870,Hammer,2016-11-15 14:47:43
-80.39661146,25.48833657,871,Hammer,2016-11-15 14:52:43
-80.39622463,25.48854262,872,Hammer,2016-11-15 14:57:43
-80.39359794,25.49007198,873,Hammer,2016-11-15 15:02:43
-80.39330690,25.49038078,874,Hammer,2016-11-15 15:07:43
-80.39429048,25.48957285,875,Hammer,2016-11-15 15:12:43
-80.39390365,25.48977890,876,Hammer,2016-11-15 15:17:43
-80.39506414,25.48916076,877,Hammer,2016-11-15 15:22:43
-80.39467731,25.48936681,878,Hammer,2016-11-15 15:27:43.000001
-80.39583780,25.48874867,879,Hammer,2016-11-15 15:32:43
-80.39545097,25.48895471,880,Hammer,2016-11-15 15:37:43
-80.40654250,25.48384401,881,Hammer,2016-11-15 15:42:43
-80.37966513,25.48372469,882,Hammer,2016-11-15 15:47:43
-80.40743045,25.48372114,883,Hammer,2016-11-15 15:52:43
-80.40787442,25.48365971,884,Hammer,2016-11-15 15:57:43
-80.39585407,25.48291366,885,Hammer,2016-11-15 16:02:43
-80.39571818,25.48301976,886,Hammer,2016-11-15 16:07:43
-80.40565456,25.48396687,887,Hammer,2016-11-15 16:12:43.000001
-80.40609853,25.48390544,888,Hammer,2016-11-15 16:17:43
-80.39531052,25.48333805,889,Hammer,2016-11-15 16:22:43
-80.39517463,25.48344415,890,Hammer,2016-11-15 16:27:43
-80.39558229,25.48312586,891,Hammer,2016-11-15 16:32:43
-80.39544641,25.48323195,892,Hammer,2016-11-15 16:37:43
-80.39476697,25.48376244,893,Hammer,2016-11-15 16:42:43
-80.39463109,25.48386854,894,Hammer,2016-11-15 16:47:43
-80.39503875,25.48355025,895,Hammer,2016-11-15 16:52:43
-80.39490286,25.48365634,896,Hammer,2016-11-15 16:57:43.000001
