XCoord,YCoord,OBJECTID,UNIQUEID,TIME
-80.38692947,25.51297873,19,Shark,2016-11-15 10:17:43
-80.38714794,25.51283633,20,Shark,2016-11-15 10:22:43
-80.38824031,25.51212432,21,Shark,2016-11-15 10:27:43
-80.38845878,25.51198192,22,Shark,2016-11-15 10:32:43
-80.38867726,25.51183952,23,Shark,2016-11-15 10:37:43
-80.38889573,25.51169712,24,Shark,2016-11-15 10:42:43
-80.38736641,25.51269393,25,Shark,2016-11-15 10:47:43
-80.38758489,25.51255153,26,Shark,2016-11-15 10:52:43
-80.38780336,25.51240913,27,Shark,2016-11-15 10:57:43.000001
-80.38802183,25.51226673,28,Shark,2016-11-15 11:02:43
-80.38602981,25.51690246,29,Shark,2016-11-15 11:07:43
-80.38799320,25.52302772,30,Shark,2016-11-15 11:12:43
-80.38822214,25.52315603,31,Shark,2016-11-15 11:17:43
-80.38845108,25.52328434,32,Shark,2016-11-15 11:22:43
-80.38868001,25.52341264,33,Shark,2016-11-15 11:27:43
-80.38890895,25.52354095,34,Shark,2016-11-15 11:32:43
-80.38913789,25.52366925,35,Shark,2016-11-15 11:37:43
-80.38936682,25.52379756,36,Shark,2016-11-15 11:42:43.000001
-80.38650959,25.51500557,37,Shark,2016-11-15 11:47:43
-80.38656956,25.51476846,38,Shark,2016-11-15 11:52:43
-80.38638964,25.51547979,39,Shark,2016-11-15 11:57:43
-80.38644961,25.51524268,40,Shark,2016-11-15 12:02:43
-80.38626970,25.51595402,41,Shark,2016-11-15 12:07:43
-80.38632967,25.51571691,42,Shark,2016-11-15 12:12:43
-80.38614975,25.51642824,43,Shark,2016-11-15 12:17:43
-80.38620972,25.51619113,44,Shark,2016-11-15 12:22:43
-80.39195914,25.52413444,45,Shark,2016-11-15 12:27:43.000001
-80.39222815,25.52411984,46,Shark,2016-11-15 12:32:43
-80.40173257,25.52066030,47,Shark,2016-11-15 12:37:43
-80.39813808,25.51689975,48,Shark,2016-11-15 12:42:43
-80.38776427,25.52289942,49,Shark,2016-11-15 12:47:43
-80.36422496,25.47857098,50,Shark,2016-11-15 12:52:43
-80.38608978,25.51666535,51,Shark,2016-11-15 12:57:43
-80.36458418,25.47857913,52,Shark,2016-11-15 13:02:43
-80.40187682,25.52112895,53,Shark,2016-11-15 13:07:43
-80.40209321,25.52183193,54,Shark,2016-11-15 13:12:43.000001
-80.38226829,25.52850552,55,Shark,2016-11-15 13:17:43
-80.39559796,25.51608727,56,Shark,2016-11-15 13:22:43
-80.38280152,25.52843461,57,Shark,2016-11-15 13:27:43
-80.38253490,25.52847006,58,Shark,2016-11-15 13:32:43
-80.38173019,25.52857707,59,Shark,2016-11-15 13:37:43
-80.39585197,25.51616851,60,Shark,2016-11-15 13:42:43
-80.38378205,25.51638304,61,Shark,2016-11-15 13:47:43
-80.38959576,25.52392586,62,Shark,2016-11-15 13:52:43
-80.38386907,25.51661322,63,Shark,2016-11-15 13:57:43.000001
-80.40487193,25.52510967,64,Shark,2016-11-15 14:02:43
-80.36135126,25.47850580,65,Shark,2016-11-15 14:07:43
-80.38982469,25.52405417,66,Shark,2016-11-15 14:12:43
-80.40389807,25.52539647,67,Shark,2016-11-15 14:17:43
-80.40363736,25.52545803,68,Shark,2016-11-15 14:22:43
-80.40441950,25.52527333,69,Shark,2016-11-15 14:27:43
-80.36171047,25.47851395,70,Shark,2016-11-15 14:32:43
-80.40285521,25.52564273,71,Shark,2016-11-15 14:37:43
-80.40259449,25.52570429,72,Shark,2016-11-15 14:42:43.000001
-80.40337664,25.52551960,73,Shark,2016-11-15 14:47:43
