XCoord,YCoord,OBJECTID,UNIQUEID,TIME
-80.38080244,25.52584890,1,WhiteTail,2016-11-15 10:17:43
-80.38095977,25.52639829,2,WhiteTail,2016-11-15 10:22:43
-80.38048777,25.52475011,3,WhiteTail,2016-11-15 10:27:43
-80.38064510,25.52529951,4,WhiteTail,2016-11-15 10:32:43
-80.38143178,25.52804645,5,WhiteTail,2016-11-15 10:37:43
-80.38158911,25.52859583,6,WhiteTail,2016-11-15 10:42:43
-80.38111711,25.52694768,7,WhiteTail,2016-11-15 10:47:43
-80.38127444,25.52749707,8,WhiteTail,2016-11-15 10:52:43
-80.38017310,25.52365131,9,WhiteTail,2016-11-15 10:57:43.000001
-80.38033043,25.52420071,10,WhiteTail,2016-11-15 11:02:43
-80.37985843,25.52255250,11,WhiteTail,2016-11-15 11:07:43
-80.38001576,25.52310190,12,WhiteTail,2016-11-15 11:12:43
-80.37954375,25.52145368,13,WhiteTail,2016-11-15 11:17:43
-80.37970109,25.52200309,14,WhiteTail,2016-11-15 11:22:43
-80.37922908,25.52035484,15,WhiteTail,2016-11-15 11:27:43
-80.37938642,25.52090426,16,WhiteTail,2016-11-15 11:32:43
-80.37891358,25.51925308,17,WhiteTail,2016-11-15 11:37:43
-80.37907175,25.51980542,18,WhiteTail,2016-11-15 11:42:43.000001
